"Age (UV04)"
,,,,"Leeds","Yorkshire and The Humber","England"
,,,,"Metropolitan District","Region","Country"
"All People","Count","Persons","Apr01",715402,4964833,49138831
"Aged under 1 year","Count","Persons","Apr01",7872,54531,554460
"Aged 1 year","Count","Persons","Apr01",7972,56839,574428
"Aged 2 years","Count","Persons","Apr01",8144,58687,587635
"Aged 3 years","Count","Persons","Apr01",8403,59979,596726
"Aged 4 years","Count","Persons","Apr01",8480,61994,612989
"Aged 5 years","Count","Persons","Apr01",8856,62663,604631
"Aged 6 years","Count","Persons","Apr01",8825,61860,608575
"Aged 7 years","Count","Persons","Apr01",8917,64461,625462
"Aged 8 years","Count","Persons","Apr01",8992,64920,630665
"Aged 9 years","Count","Persons","Apr01",9563,68050,653196
"Aged 10 years","Count","Persons","Apr01",9952,69109,661291
"Aged 11 years","Count","Persons","Apr01",9528,67122,646996
"Aged 12 years","Count","Persons","Apr01",9554,66294,640717
"Aged 13 years","Count","Persons","Apr01",9442,67788,650842
"Aged 14 years","Count","Persons","Apr01",9494,66174,629201
"Aged 15 years","Count","Persons","Apr01",9097,65077,623767
"Aged 16 years","Count","Persons","Apr01",8858,64967,629445
"Aged 17 years","Count","Persons","Apr01",8441,62314,601821
"Aged 18 years","Count","Persons","Apr01",9542,61773,590850
"Aged 19 years","Count","Persons","Apr01",12598,65856,586721
"Aged 20 years","Count","Persons","Apr01",14055,69095,614403
"Aged 21 years","Count","Persons","Apr01",13302,66385,611506
"Aged 22 years","Count","Persons","Apr01",11385,60567,588649
"Aged 23 years","Count","Persons","Apr01",9878,54375,564695
"Aged 24 years","Count","Persons","Apr01",9547,53484,573466
"Aged 25 years","Count","Persons","Apr01",9970,56010,592740
"Aged 26 years","Count","Persons","Apr01",9606,57545,619548
"Aged 27 years","Count","Persons","Apr01",9813,60255,642742
"Aged 28 years","Count","Persons","Apr01",10409,65142,687806
"Aged 29 years","Count","Persons","Apr01",11016,70103,725824
"Aged 30 years","Count","Persons","Apr01",11184,72596,743517
"Aged 31 years","Count","Persons","Apr01",10808,71767,733446
"Aged 32 years","Count","Persons","Apr01",11079,74184,760002
"Aged 33 years","Count","Persons","Apr01",10803,73918,763358
"Aged 34 years","Count","Persons","Apr01",11069,75539,785288
"Aged 35 years","Count","Persons","Apr01",10969,75925,787124
"Aged 36 years","Count","Persons","Apr01",11169,76718,791661
"Aged 37 years","Count","Persons","Apr01",10732,76363,782799
"Aged 38 years","Count","Persons","Apr01",10673,75899,769653
"Aged 39 years","Count","Persons","Apr01",10339,74209,749776
"Aged 40 years","Count","Persons","Apr01",10188,72583,730588
"Aged 41 years","Count","Persons","Apr01",9594,70290,701571
"Aged 42 years","Count","Persons","Apr01",9624,68854,690494
"Aged 43 years","Count","Persons","Apr01",9690,69263,681359
"Aged 44 years","Count","Persons","Apr01",9338,66563,656875
"Aged 45 years","Count","Persons","Apr01",8493,64330,634240
"Aged 46 years","Count","Persons","Apr01",8197,62140,619926
"Aged 47 years","Count","Persons","Apr01",8548,63448,627116
"Aged 48 years","Count","Persons","Apr01",8222,61980,617653
"Aged 49 years","Count","Persons","Apr01",8317,62013,612630
"Aged 50 years","Count","Persons","Apr01",8421,63341,617394
"Aged 51 years","Count","Persons","Apr01",8554,65051,639113
"Aged 52 years","Count","Persons","Apr01",9019,67305,659638
"Aged 53 years","Count","Persons","Apr01",9571,73212,715481
"Aged 54 years","Count","Persons","Apr01",10096,76803,751071
"Aged 55 years","Count","Persons","Apr01",7495,58087,577525
"Aged 56 years","Count","Persons","Apr01",7728,60784,596512
"Aged 57 years","Count","Persons","Apr01",7458,57652,575598
"Aged 58 years","Count","Persons","Apr01",7353,54708,548342
"Aged 59 years","Count","Persons","Apr01",6445,49338,487454
"Aged 60 years","Count","Persons","Apr01",6209,47214,462708
"Aged 61 years","Count","Persons","Apr01",6766,50691,491823
"Aged 62 years","Count","Persons","Apr01",6637,50308,487196
"Aged 63 years","Count","Persons","Apr01",6819,50648,481809
"Aged 64 years","Count","Persons","Apr01",6726,49039,468294
"Aged 65 years","Count","Persons","Apr01",6541,47541,454008
"Aged 66 years","Count","Persons","Apr01",6268,45915,439446
"Aged 67 years","Count","Persons","Apr01",5813,44088,420079
"Aged 68 years","Count","Persons","Apr01",5965,43400,419937
"Aged 69 years","Count","Persons","Apr01",5889,42733,420553
"Aged 70 years","Count","Persons","Apr01",5858,42901,418979
"Aged 71 years","Count","Persons","Apr01",5564,41263,404735
"Aged 72 years","Count","Persons","Apr01",5531,39620,387853
"Aged 73 years","Count","Persons","Apr01",5178,38226,370943
"Aged 74 years","Count","Persons","Apr01",5119,38010,366308
"Aged 75 to 79 years","Count","Persons","Apr01",22677,168519,1645194
"Aged 80 to 84 years","Count","Persons","Apr01",15579,111571,1105941
"Aged 85 to 89 years","Count","Persons","Apr01",8972,63597,637701
"Aged 90 to 94 years","Count","Persons","Apr01",3636,24687,249874
"Aged 95 to 99 years","Count","Persons","Apr01",854,5809,58401
"Aged 100 years and over","Count","Persons","Apr01",114,771,8048
"Age (UV04), Apr01","LastUpdated","18 November 2004"
"Age (UV04), Apr01","Source","Office for National Statistics"
"Age (UV04)","National Statistics"
"This material is Crown Copyright. Users are granted permission to reproduce Crown Copyright material provided that a Click-Use Licence has been obtained from HMSO. The Click-Use Licence can be obtained from http://www.clickanduse.hmso.gov.uk. When reproducing this material, the source should be acknowledged."
