"Ethnic Group (UV09)"
,,,,"Leeds","Yorkshire and The Humber","England"
,,,,"Metropolitan District","Region","Country"
"All People","Count","Persons","Apr01",715402,4964833,49138831
"White","Count","Persons","Apr01",657082,4641263,44679361
"White: British","Count","Persons","Apr01",637872,4551394,42747136
"White: Irish","Count","Persons","Apr01",8578,32735,624115
"White: Other White","Count","Persons","Apr01",10632,57134,1308110
"Mixed","Count","Persons","Apr01",9737,44995,643373
"Mixed: White and Black Caribbean","Count","Persons","Apr01",4603,18187,231424
"Mixed: White and Black African","Count","Persons","Apr01",885,4094,76498
"Mixed: White and Asian","Count","Persons","Apr01",2516,14218,184014
"Mixed: Other Mixed","Count","Persons","Apr01",1733,8496,151437
"Asian or Asian British","Count","Persons","Apr01",32290,222486,2248289
"Asian or Asian British: Indian","Count","Persons","Apr01",12303,51493,1028546
"Asian or Asian British: Pakistani","Count","Persons","Apr01",15064,146330,706539
"Asian or Asian British: Bangladeshi","Count","Persons","Apr01",2537,12330,275394
"Asian or Asian British: Other Asian","Count","Persons","Apr01",2386,12333,237810
"Black or Black British","Count","Persons","Apr01",10318,34262,1132508
"Black or Black British: Caribbean","Count","Persons","Apr01",6718,21308,561246
"Black or Black British: African","Count","Persons","Apr01",2435,9625,475938
"Black or Black British: Other Black","Count","Persons","Apr01",1165,3329,95324
"Chinese or Other Ethnic Group","Count","Persons","Apr01",5975,21827,435300
"Chinese or Other Ethnic Group: Chinese","Count","Persons","Apr01",3447,12340,220681
"Chinese or Other Ethnic Group: Other Ethnic Group","Count","Persons","Apr01",2528,9487,214619
"Ethnic Group (UV09), Apr01","LastUpdated","18 November 2004"
"Ethnic Group (UV09), Apr01","Source","Office for National Statistics"
"Ethnic Group (UV09)","National Statistics"
"This material is Crown Copyright. Users are granted permission to reproduce Crown Copyright material provided that a Click-Use Licence has been obtained from HMSO. The Click-Use Licence can be obtained from http://www.clickanduse.hmso.gov.uk. When reproducing this material, the source should be acknowledged."
