"Religion (UV15)"
,,,,"Leeds","Yorkshire and The Humber","England"
,,,,"Metropolitan District","Region","Country"
"All People","Count","Persons","Apr01",715402,4964833,49138831
"Christian","Count","Persons","Apr01",492656,3627774,35251244
"Buddhist","Count","Persons","Apr01",1587,7188,139046
"Hindu","Count","Persons","Apr01",4183,15797,546982
"Jewish","Count","Persons","Apr01",8267,11554,257671
"Muslim","Count","Persons","Apr01",21394,189089,1524887
"Sikh","Count","Persons","Apr01",7586,18711,327343
"Any other religion","Count","Persons","Apr01",1530,9624,143811
"No religion","Count","Persons","Apr01",120139,699327,7171332
"Religion not stated","Count","Persons","Apr01",58060,385769,3776515
"Religion (UV15), Apr01","LastUpdated","18 November 2004"
"Religion (UV15), Apr01","Source","Office for National Statistics"
"Religion (UV15)","National Statistics"
"This material is Crown Copyright. Users are granted permission to reproduce Crown Copyright material provided that a Click-Use Licence has been obtained from HMSO. The Click-Use Licence can be obtained from http://www.clickanduse.hmso.gov.uk. When reproducing this material, the source should be acknowledged."
